cmip6-id, cmip6-label, cmip6-type
cmip6.ocean, Ocean, realm
, , 
cmip6.ocean.grid, Ocean > Grid, grid
cmip6.ocean.grid.discretisation, Ocean > Grid > Discretisation, subprocess
, , 
cmip6.ocean.key_properties, Ocean > Key Properties, keyprops
cmip6.ocean.key_properties.resolution, Ocean > Key Properties > Resolution, subprocess
cmip6.ocean.key_properties.tuning_applied, Ocean > Key Properties > Tuning Applied, subprocess
cmip6.ocean.key_properties.conservation, Ocean > Key Properties > Conservation, subprocess
, , 
cmip6.ocean.timestepping_framework, Ocean > Timestepping Framework, process
, , 
cmip6.ocean.advection, Ocean > Advection, process
cmip6.ocean.advection.momentum, Ocean > Advection > Momentum, subprocess
cmip6.ocean.advection.lateral_tracers, Ocean > Advection > Lateral Tracers, subprocess
cmip6.ocean.advection.vertical_tracers, Ocean > Advection > Vertical Tracers, subprocess
, , 
cmip6.ocean.lateral_physics, Ocean > Lateral Physics, process
cmip6.ocean.lateral_physics.momentum, Ocean > Lateral Physics > Momentum, subprocess
cmip6.ocean.lateral_physics.tracers, Ocean > Lateral Physics > Tracers, subprocess
, , 
cmip6.ocean.vertical_physics, Ocean > Vertical Physics, process
cmip6.ocean.vertical_physics.boundary_layer_mixing, Ocean > Vertical Physics > Boundary Layer Mixing, subprocess
cmip6.ocean.vertical_physics.interior_mixing, Ocean > Vertical Physics > Interior Mixing, subprocess
, , 
cmip6.ocean.uplow_boundaries, Ocean > Uplow Boundaries, process
, , 
cmip6.ocean.boundary_forcing, Ocean > Boundary Forcing, process
cmip6.ocean.boundary_forcing.momentum, Ocean > Boundary Forcing > Momentum, subprocess
cmip6.ocean.boundary_forcing.tracers, Ocean > Boundary Forcing > Tracers, subprocess
